Latitude,Longitude,City,Temperature,Humidity,Cloudiness,Wind_Speed
18.57321617481932,124.25340501387313,san vicente,71.6,83,75,11.41
77.85155836933993,92.1997107746289,talnakh,60.8,100,40,4.47
55.880142232548685,4.538901940034592,harlingen,56.73,100,69,1.12
52.56977053081495,97.19583752588353,toora-khem,59.7,79,82,2.19
9.60209571078978,163.45967333181957,butaritari,85.01,77,100,15.12
75.45328287974104,25.720919709594476,honningsvag,44.42,76,100,9.53
26.709294278283156,71.6560973643489,pokaran,90.53,55,35,2.01
84.0306624881996,94.87867799398788,khatanga,72.05,48,0,12.62
74.85465404482171,119.25238327034432,saskylakh,55.78,71,54,16.31
20.221390382710045,61.821168975328895,sur,87.38,41,74,4.76
16.767736718929683,65.13318634974466,porbandar,82.79,82,100,20.56
55.716840260650116,32.35953107918619,zharkovskiy,60.13,98,100,9.28
24.682350819435726,42.9101168945262,buraydah,80.6,36,0,5.82
60.848909002067906,54.73008328774058,gayny,43.43,91,28,3.91
77.2318872042173,85.60358381420349,dikson,44.49,99,94,15.93
13.8882470909083,45.424424742530384,lahij,92.8,42,53,4.85
23.649807130005815,7.805592312910992,gat,82.31,70,4,7.38
26.791818252530927,83.7123952759199,hata,79.52,84,99,16.89
57.79335454878214,60.203879165671424,novoasbest,43.91,97,57,5.75
67.5826255413065,111.8495752950794,udachnyy,66.2,45,0,4.47
35.24553938170798,97.26658786302889,yumen,74.59,21,66,8.46
57.92833386579078,29.162229725110294,porkhov,59,93,100,11.18
5.405913461941525,18.978218424646776,sibut,67.58,95,80,2.98
55.61852501602169,43.433693959611105,mukhtolovo,61.81,97,100,9.15
41.37998005976388,161.07659738929573,severo-kurilsk,48.4,97,100,13.42
40.0759126442402,129.38874574414984,helong,82.63,77,0,4.59
42.277759356592895,13.751405820289671,penne,71.51,73,2,3.36
16.844516488120398,15.752674424984157,mao,82.67,88,75,6.93
60.39220231950756,67.76467853855627,kondinskoye,51.96,94,100,8.84
56.98828506712641,45.4597804165446,voskresenskoye,55.47,97,83,7.31
20.438816135405126,149.21711308448084,katsuura,81.43,78,75,4.7
5.999693759649521,48.789665187372506,hobyo,75.63,75,85,25.81
29.22140615273575,120.89715751893138,linhai,78.93,91,83,8.23
79.12739149634344,31.826370619149916,berlevag,43.36,80,100,8.03
37.4563838214562,39.3302192210478,siverek,78.8,29,0,8.05
58.64483272499636,161.67444402402006,ossora,52.7,94,100,5.64
56.94199975834184,80.56890377127769,kedrovyy,62.6,93,0,3.89
1.0287091625365141,120.64301348658715,palu,78.29,75,22,1.16
85.5386175626083,171.55895172984353,pevek,42.71,91,43,8.5
65.65253250666684,34.94024580418283,kem,64.52,94,27,2.57
58.132516430923936,82.83061569471188,kolpashevo,57.13,74,99,3.83
51.66054196040193,119.39468604769267,nerchinskiy zavod,63.14,74,70,2.53
25.7634535920528,53.18526120288578,khor,65.73,86,100,4.38
33.95044340647202,80.3063318142267,leh,47.15,59,50,2.24
37.55737729995397,41.56952717997496,midyat,73.94,22,0,6.93
38.2918098108508,4.501534099770241,tigzirt,82.51,21,0,3.58
17.941618304865546,94.30832291666027,myanaung,76.37,90,54,2.77
46.520193155408656,2.3249992239033968,montlucon,68.7,80,47,7.56
65.726852689746,133.67501389279914,verkhoyansk,56.05,89,100,7.52
46.5119287537615,169.30950311884115,nikolskoye,59.94,93,75,4.65
77.32243761723178,123.1816406157384,tiksi,46.72,80,100,6.91
26.58645737226776,33.091997296363054,qena,86,40,0,2.21
60.60661933292423,113.18678177468405,peleduy,68.84,54,0,11.63
23.819210090282837,2.953564541377467,tessalit,95.77,22,50,7.31
26.496576843473967,104.95777920469831,caohai,58.15,95,45,3.56
53.85796821287642,179.61804344923266,beringovskiy,60.62,65,65,4.79
46.97479844103404,144.06741642921187,novikovo,63.59,92,54,11.21
62.06274021789449,10.611711784540718,alvdal,51.8,100,100,9.17
73.27920303783473,1.0272423482807969,roald,53.62,93,75,10.29
43.698915608096804,147.88836666237475,kurilsk,57.88,84,100,10.49
8.431502399791396,103.76712439324477,ca mau,76.71,91,100,7.11
2.5244974663708453,142.4010990586691,vanimo,80.15,81,40,2.3
57.18622860435064,127.70104053966195,tommot,69.92,56,25,2.8
74.95503615204706,159.61577132241953,cherskiy,73.36,45,18,1.54
16.670858566704727,132.67383658082693,san policarpo,84.07,70,100,14
44.5875011411144,92.2036651464784,hami,70,69,0,11.72
15.263089623212382,38.48044116444377,asmara,73.2,76,23,1.79
68.40012367261544,135.24702932935415,batagay,56.05,92,100,4.7
66.28735652158356,56.1967746968472,usinsk,45.7,88,100,13.42
80.29064651999475,151.8888005320154,chokurdakh,66.88,49,14,6.46
35.336442772801135,149.4382329548021,kamaishi,86,70,75,6.93
58.82743673041043,26.80758418120409,torma,57.74,93,40,4.21
57.596103217468446,31.237208961310017,poddorye,54.97,96,100,16.33
32.294824574324416,33.49321270289673,ashqelon,72.32,83,40,5.82
